prompt,user_input
The wind rustles the leaves in the forest.,"Wind, Rustles, Leaves, Forest"
I find peace in the quiet of the library.,"I/Me, Find, Peace, Quiet, Library"
The lion roars in the wilderness.,"Lion, Roars, Wilderness"
I love the feeling of sand between my toes.,"I/Me, Love, Feeling, Sand, Between Toes"
The car races down the winding road.,"Car, Races, Down, Winding Road"
I admire the elegance of a swan in the lake.,"I/Me, Admire, Elegance, Swan, Lake"
The storm rages on with thunder and lightning.,"Storm, Rages, Thunder, Lightning"
I enjoy a cold ice cream on a hot day.,"I/Me, Enjoy, Cold, Ice Cream, Hot Day"
The hiker reaches the summit of the mountain.,"Hiker, Reaches, Summit, Mountain"
I feel joy watching the colorful fireworks.,"I/Me, Feel, Joy, Colorful, Fireworks"
The boat sails on the calm waters of the lake.,"Boat, Sails, Calm Waters, Lake"
I like to explore new places on weekends.,"I/Me, Like, Explore, New Places, Weekends"
The elephant trumpets in the safari.,"Elephant, Trumpets, Safari"
I relax in a hammock under the palm trees.,"I/Me, Relax, Hammock, Palm Trees"
The computer processes data quickly.,"Computer, Processes, Data, fast/quick"
I find inspiration in the art of painting.,"I/Me, Find, Inspiration, Art, Painting"
The ocean waves crash on the sandy beach.,"Ocean Waves, Crash, Sandy Beach"
I admire the bravery of firefighters.,"I/Me, Admire, Bravery, Firefighters"
The scientist conducts experiments in the lab.,"Scientist, Conducts, Experiments, Lab"
I enjoy a cup of herbal tea in the evening.,"I/Me, Enjoy, Cup, Herbal Tea, Evening"
The violinist plays a soulful melody.,"Violinist, Plays, Soulful, Melody"
I love to watch the stars twinkle at night.,"I/Me, Love, Watch, Stars, Twinkle, Night"
The mountain climber reaches the peak.,"Mountain Climber, Reaches, Peak"
I relax with a good book by the fireplace.,"I/Me, Relax, good/thank, book, Fireplace"
